"nome_mesoreg";"DIMENSAO";"bs_mean";"nMun";"nExec";"munAmostrados"
"Nordeste Paraense";"DIM_AMBIENTAL";42,1561111111111;3;3;"1501204,1501956,1506559"
"Nordeste Paraense";"DIM_ECONOMICA";38,23;3;3;"1501204,1501956,1506559"
"Nordeste Paraense";"DIM_SOCIAL";38,184;3;3;"1501204,1501956,1506559"
"Sudeste Paraense";"DIM_AMBIENTAL";47,2455555555556;3;3;"1504976,1505064,1508407"
"Sudeste Paraense";"DIM_ECONOMICA";48,446;3;3;"1504976,1505064,1508407"
"Sudeste Paraense";"DIM_SOCIAL";45,5913333333333;3;3;"1504976,1505064,1508407"
"Marajó";"DIM_AMBIENTAL";49,275;3;3;"1505809,1502004,1500701"
"Marajó";"DIM_ECONOMICA";39,4806666666667;3;3;"1505809,1502004,1500701"
"Marajó";"DIM_SOCIAL";35,0393333333333;3;3;"1505809,1502004,1500701"
"Baixo Amazonas";"DIM_AMBIENTAL";44,5511111111111;3;3;"1505106,1503002,1507979"
"Baixo Amazonas";"DIM_ECONOMICA";41,6903333333333;3;3;"1505106,1503002,1507979"
"Baixo Amazonas";"DIM_SOCIAL";49,6026666666667;3;3;"1505106,1503002,1507979"
"Sudoeste Paraense";"DIM_AMBIENTAL";50,0127777777778;3;3;"1508357,1507805,1505031"
"Sudoeste Paraense";"DIM_ECONOMICA";46,3856666666667;3;3;"1508357,1507805,1505031"
"Sudoeste Paraense";"DIM_SOCIAL";43,7653333333333;3;3;"1508357,1507805,1505031"
"Metropolitana de Belém";"DIM_AMBIENTAL";59,5288888888889;3;3;"1501402,1500800,1501907"
"Metropolitana de Belém";"DIM_ECONOMICA";51,3693333333333;3;3;"1501402,1500800,1501907"
"Metropolitana de Belém";"DIM_SOCIAL";60,8206666666667;3;3;"1501402,1500800,1501907"
"Nordeste Paraense";"DIM_AMBIENTAL";45,5776666666667;5;3;"1507474,1503309,1502103,1500107,1504950"
"Nordeste Paraense";"DIM_ECONOMICA";41,1992;5;3;"1507474,1503309,1502103,1500107,1504950"
"Nordeste Paraense";"DIM_SOCIAL";41,6584;5;3;"1507474,1503309,1502103,1500107,1504950"
"Sudeste Paraense";"DIM_AMBIENTAL";40,104;5;3;"1506138,1507508,1502764,1508407,1502954"
"Sudeste Paraense";"DIM_ECONOMICA";50,2512;5;3;"1506138,1507508,1502764,1508407,1502954"
"Sudeste Paraense";"DIM_SOCIAL";45,2096;5;3;"1506138,1507508,1502764,1508407,1502954"
"Marajó";"DIM_AMBIENTAL";47,7396666666667;5;3;"1503101,1504901,1505700,1501808,1505809"
"Marajó";"DIM_ECONOMICA";40,4756;5;3;"1503101,1504901,1505700,1501808,1505809"
"Marajó";"DIM_SOCIAL";35,6392;5;3;"1503101,1504901,1505700,1501808,1505809"
"Baixo Amazonas";"DIM_AMBIENTAL";47,928;5;3;"1503903,1505106,1501451,1506807,1500503"
"Baixo Amazonas";"DIM_ECONOMICA";45,4158;5;3;"1503903,1505106,1501451,1506807,1500503"
"Baixo Amazonas";"DIM_SOCIAL";45,462;5;3;"1503903,1505106,1501451,1506807,1500503"
"Sudoeste Paraense";"DIM_AMBIENTAL";49,1786666666667;5;3;"1505031,1503754,1504455,1500602,1503606"
"Sudoeste Paraense";"DIM_ECONOMICA";48,5178;5;3;"1505031,1503754,1504455,1500602,1503606"
"Sudoeste Paraense";"DIM_SOCIAL";45,7472;5;3;"1505031,1503754,1504455,1500602,1503606"
"Metropolitana de Belém";"DIM_AMBIENTAL";69,3686666666667;5;3;"1501501,1506500,1500800,1506351,1501402"
"Metropolitana de Belém";"DIM_ECONOMICA";58,7136;5;3;"1501501,1506500,1500800,1506351,1501402"
"Metropolitana de Belém";"DIM_SOCIAL";61,4244;5;3;"1501501,1506500,1500800,1506351,1501402"
"Nordeste Paraense";"DIM_AMBIENTAL";53,4930952380952;7;3;"1505007,1503309,1506609,1507466,1502756,1507953,1504406"
"Nordeste Paraense";"DIM_ECONOMICA";44,4547142857143;7;3;"1505007,1503309,1506609,1507466,1502756,1507953,1504406"
"Nordeste Paraense";"DIM_SOCIAL";48,888;7;3;"1505007,1503309,1506609,1507466,1502756,1507953,1504406"
"Sudeste Paraense";"DIM_AMBIENTAL";43,1938095238095;7;3;"1501253,1502954,1508100,1507151,1503093,1506708,1506161"
"Sudeste Paraense";"DIM_ECONOMICA";52,1264285714286;7;3;"1501253,1502954,1508100,1507151,1503093,1506708,1506161"
"Sudeste Paraense";"DIM_SOCIAL";49,3471428571429;7;3;"1501253,1502954,1508100,1507151,1503093,1506708,1506161"
"Marajó";"DIM_AMBIENTAL";49,8621428571429;7;3;"1503101,1502004,1506302,1507706,1500701,1504505,1506401"
"Marajó";"DIM_ECONOMICA";40,0152857142857;7;3;"1503101,1502004,1506302,1507706,1500701,1504505,1506401"
"Marajó";"DIM_SOCIAL";39,1377142857143;7;3;"1503101,1502004,1506302,1507706,1500701,1504505,1506401"
"Baixo Amazonas";"DIM_AMBIENTAL";41,187380952381;7;3;"1505908,1505106,1500404,1500503,1502855,1507979,1504802"
"Baixo Amazonas";"DIM_ECONOMICA";40,7715714285714;7;3;"1505908,1505106,1500404,1500503,1502855,1507979,1504802"
"Baixo Amazonas";"DIM_SOCIAL";44,3142857142857;7;3;"1505908,1505106,1500404,1500503,1502855,1507979,1504802"
"Sudoeste Paraense";"DIM_AMBIENTAL";43,17;7;3;"1507805,1508050,1500859,1501725,1500602,1503606,1501006"
"Sudoeste Paraense";"DIM_ECONOMICA";44,522;7;3;"1507805,1508050,1500859,1501725,1500602,1503606,1501006"
"Sudoeste Paraense";"DIM_SOCIAL";42,1954285714286;7;3;"1507805,1508050,1500859,1501725,1500602,1503606,1501006"
"Metropolitana de Belém";"DIM_AMBIENTAL";64,0480952380952;7;3;"1501501,1506500,1500800,1506351,1501907,1501402,1504422"
"Metropolitana de Belém";"DIM_ECONOMICA";55,7917142857143;7;3;"1501501,1506500,1500800,1506351,1501907,1501402,1504422"
"Metropolitana de Belém";"DIM_SOCIAL";58,0511428571429;7;3;"1501501,1506500,1500800,1506351,1501907,1501402,1504422"
"Nordeste Paraense";"DIM_AMBIENTAL";47,645;9;3;"1507953,1508001,1508308,1504703,1504604,1504109,1501600,1503200,1505403"
"Nordeste Paraense";"DIM_ECONOMICA";44,1941111111111;9;3;"1507953,1508001,1508308,1504703,1504604,1504109,1501600,1503200,1505403"
