datahora,satelite,pais,estado,municipio,bioma,diasemchuva,precipitacao,riscofogo,latitude,longitude,frp
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,15,0,1,-3.38,-50.209,36.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,35,0,1,-3.362,-48.198,22.4
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,13,0,1,-3.32,-50.289,56.3
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,12,0,1,-3.315,-50.297,65.1
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,14,0,1,-3.311,-50.273,146.8
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PACAJA,Amazonia,12,0,1,-3.298,-50.275,55
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,6,0,1,-3.283,-50.372,84.9
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,6,0,1,-3.278,-50.378,67.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TAILANDIA,Amazonia,78,0,1,-3.236,-48.792,30.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TAILANDIA,Amazonia,78,0,1,-3.233,-48.797,29.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,11,0,1,-3.185,-50.319,24.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,10,0,1,-3.198,-50.317,99.5
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,9,0,1,-3.181,-50.296,19.9
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TAILANDIA,Amazonia,59,0,1,-3.153,-48.666,27.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,5,0,0.9,-3.125,-50.148,15.1
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,16,0,1,-3.119,-50.407,43.9
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,16,0,0.9,-3.118,-50.504,37.5
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,15,0,0.9,-3.114,-50.509,38.1
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,6,0.3,1,-3.088,-49.24,20.9
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,6,0.3,1,-3.088,-49.235,60.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,ANAPU,Amazonia,5,0,0.8,-3.087,-51.274,21.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,7,0.4,1,-3.086,-49.221,137.8
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,7,0.4,1,-3.085,-49.216,102.7
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,ANAPU,Amazonia,5,0,0.8,-3.084,-51.254,29.7
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,8,0,1,-3.072,-50.271,22.2
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PORTEL,Amazonia,8,0,1,-3.067,-50.277,18.7
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,44,0,1,-3.038,-47.601,25.4
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TAILANDIA,Amazonia,5,0.6,1,-2.869,-48.604,50.8
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TOME-ACU,Amazonia,5,0,1,-2.844,-48.108,26.3
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,TAILANDIA,Amazonia,5,0.5,1,-2.866,-48.587,29.9
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,MOJU,Amazonia,4,8.6,0.1,-2.826,-49.043,26.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,20,0,1,-2.823,-46.607,15.6
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,20,0.1,1,-2.821,-46.596,12.9
2020/09/17 16:25:00,AQUA_M-T,Brasil,PARA,PARAGOMINAS,Amazonia,19,0.1,1,-2.814,-46.603,23.1
